Rank,Player,"AVG PICK","7 DAY +/-","AVG SALARY","7 DAY +/-","%ROST"
136,"Khalil ShakirQ
BUFWR",138.6,-0.6,1.1,0,70.5
137,"Jayden Reed
GBWR",139.9,-0.4,1.3,0,71.6
138,"Jordan Mason
MINRB",140.5,-0.2,2.3,0.1,68.5
139,"Cam Little
JAXK",140.5,0.3,1.4,0,88.7
140,"Eddy Pineiro
SFK",142.5,0.7,1.1,0,85.4
141,"Harrison Butker
KCK",143.8,0.3,1.2,0,81.8
142,"Deebo Samuel Sr.
SFWR",145.1,-0.5,1.1,0,68.6
143,"Baker Mayfield
TBQB",147.8,-0.2,2.2,0.1,58
144,"KC Concepcion
CLEWR",148.7,-0.5,1.3,0,65
145,"Romeo Doubs
NEWR",148.8,-0.5,1,0,61.9
146,"Tyjae Spears
TENRB",151.4,-0.2,0.9,0,55.9
147,"Woody Marks
HOURB",152.4,-0.2,1,0,59.8
148,"Tyler Shough
NOQB",152.8,-0.2,1.9,0.1,48.8
149,"Hunter Henry
NETE",153,-0.2,0.7,0,55.8
150,"Patriots D/ST
NED/ST",154.1,0,1,0,
151,"T.J. Hockenson
MINTE",154.3,-0.1,0.7,0,60.5
152,"Jalen Coker
CARWR",154.8,-0.3,0.8,0,51.1
153,"Lions D/ST
DETD/ST",155.3,0.2,0.9,0,71.7
154,"Jordan Love
GBQB",155.4,0.1,1.9,0.1,42.6
155,"Zach CharbonnetO
SEARB",155.9,-0.1,1.1,0,55.1
156,"Jake Bates
DETK",156.3,0.2,1,0,72.5
157,"Juwan Johnson
NOTE",157.2,0.1,0.7,0,46.1
158,"Browns D/ST
CLED/ST",158.4,0.1,0.8,0,59.6
159,"Rashid Shaheed
SEAWR",160.4,0,0.7,0,44.3
160,"Daniel Jones
INDQB",161.1,0,1.2,0,36.8
161,"Sam Darnold
SEAQB",162.6,0.1,1.2,0.1,26.9
162,"Mike Washington Jr.
LVRB",162.7,0,0.8,0,40.2
163,"Jonah Coleman
DENRB",162.9,0,0.7,0,29.5
164,"Jalen McMillanQ
TBWR",163.5,-0.1,0.6,0,33
165,"Alvin KamaraQ
NORB",163.6,-0.2,0.5,0,38.5
166,"Tyler Allgeier
ARIRB",164,-0.1,0.6,0,36.3
167,"Chris Rodriguez Jr.
JAXRB",164.6,0,0.6,0,31.7
168,"Chris Boswell
PITK",164.8,0,0.4,0,38
169,"Tank DellIR
HOUWR",165,0,0.4,0,34.3
170,"Chargers D/ST
LACD/ST",165,0.1,0.6,0,55
171,"C.J. Stroud
HOUQB",165.3,0.1,0.9,0,24.6
172,"Tyler Loop
BALK",165.5,0.3,0.7,0,52.4
173,"Keenan Allen
INDWR",165.7,-0.1,0.4,0,29.9
174,"Chiefs D/ST
KCD/ST",166.5,0.1,0.4,0,37.7
175,"Isiah PachecoIR
DETRB",166.9,-0.6,0.3,0,36.1
176,"Kenyon SadiqQ
NYJTE",167,-0.3,0.4,0,39.3
177,"Jaguars D/ST
JAXD/ST",167.2,0.3,0.5,0,56
178,"Malik Willis
MIAQB",167.4,0.1,0.9,0,21.4
179,"Cowboys D/ST
DALD/ST",167.5,-0.1,0.2,0,12.1
180,"Will Reichard
MINK",167.7,0.2,0.5,0,32.8
181,"Terrance FergusonQ
LARTE",167.8,0.2,0.4,0,26.5
182,"Brian Robinson Jr.
ATLRB",168,-0.1,1.6,0.1,27.2
183,"Jordyn TysonIR
NOWR",168.1,0,0.5,0,37.2
184,"Trey Smack
GBK",168.3,0.1,0.2,0,14.3
185,"Bryce Young
CARQB",168.7,0.1,0.5,0,10.7
186,"Brenton Strange
JAXTE",168.7,-0.2,0.2,0,23.2
187,"Cairo Santos
CHIK",168.8,0.2,0.4,0,34.3
188,"Fernando Mendoza
LVQB",168.8,0,0.3,0,8.8
189,"Jerry Jeudy
CLEWR",168.8,0,0.4,0.1,28
190,"Vikings D/ST
MIND/ST",168.9,0.1,0.3,0,13.3
191,"Dalton Schultz
HOUTE",168.9,0,0.2,0,18.2
192,"Denzel Boston
CLEWR",169,0,0.3,0,26.2
193,"Bills D/ST
BUFD/ST",169,0,0.1,0,5
194,"49ers D/ST
SFD/ST",169.1,0,0.1,0,7.4
195,"Aaron Rodgers
PITQB",169.1,0,0.3,0,7.2
196,"Jake Elliott
PHIK",169.1,0.1,0.1,0,8.4
197,"Ja'Kobi Lane
BALWR",169.2,-0.1,0.3,0,17.8
198,"Cam Ward
TENQB",169.2,0.1,0.4,0,9.3
199,"Evan McPherson
CINK",169.3,0.1,0.2,0,21.1
200,"Keaton MitchellQ
LACRB",169.3,0.1,0.4,0,
