"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Tyjae Spears","RB","TEN",9,138,15.4,3.08,116,153,59.3,59.9,48.2,97,98,99,39,"12",25,146,4.37,43,3
"Tyreek Hill","WR","FA",NA,173,NA,1.26,NA,NA,58.4,NA,NA,98,NA,NA,43,"8",32,157,3.39,97,10
"Jordan Addison","WR","MIN",6,172,25.5,0.498,144,211,57.2,66.3,63.3,99,90,85,44,"8",24,110,3.92,33,3
"Jayden Reed","WR","GB",11,172,32.3,3.54,124,209,56.7,46.2,61.4,100,117,87,45,"8",26,128,3.83,56,3
"Bo Nix","QB","DEN",10,372,29.4,0.583,340,411,56.5,52.7,47.5,101,108,101,12,"2",26,91.9,8.33,34,2
"Jordan Mason","RB","MIN",6,135,23.7,1.34,110,164,56.2,54.3,59,102,107,89,40,"12",27,123,5.89,62,4
"Patrick Mahomes","QB","KC",5,371,24.2,1.99,352,409,55.9,64.7,45.2,103,94,104,13,"2",30,84.7,13.6,62,9
"Kyle Pitts","TE","ATL",11,190,15.3,10.1,180,215,55.9,64.4,54.4,104,95,90,6,"3",25,79.4,9.57,10,5
"Blake Corum","RB","LAR",11,134,14.5,0.696,125,158,54.8,68.9,53,105,88,92,41,"12",25,115,4.01,19,2
"Zach Charbonnet","RB","SEA",11,133,37.9,6.05,104,195,54.1,48.1,90,106,114,61,42,"13",25,116,6.17,87,3
"Jared Goff","QB","DET",6,369,26.2,0.16,338,401,53.9,50.8,37.4,107,111,116,14,"2",31,112,5.07,78,10
"Brock Purdy","QB","SF",8,369,20.9,2.79,345,395,53.7,57.1,31.4,108,102,127,15,"2",26,98.3,9.75,12,4
"Deebo Samuel","WR","FA",NA,168,NA,0.71,NA,NA,53.1,NA,NA,109,NA,NA,46,"8",56,161,2.73,95,7
"Khalil Shakir","WR","BUF",7,167,7.92,1.72,155,174,52.4,77.1,27,110,82,134,47,"8",26,134,5.8,5,4
"Justin Herbert","QB","LAC",7,366,22,13.4,347,398,50.9,59.5,34.6,111,99,121,16,"2",28,88,10.5,44,6
"Jordyn Tyson","WR","NO",8,166,45.2,1.53,97.4,215,50.7,19.9,67.5,112,146,79,48,"8",21,98.6,20.5,82,0
"Romeo Doubs","WR","NE",11,164,22.7,0.0384,132,193,49.1,54.8,45.4,113,105,103,49,"8",26,133,4.74,39,4
"Xavier Worthy","WR","KC",5,164,18.7,0.56,134,179,49.1,56.7,32,114,103,125,50,"8",23,120,3.61,23,2
"Xavier Worthy","WR","KC",5,164,18.7,0.56,134,179,49.1,56.7,32,114,103,125,50,"8",23,120,3.61,52,2
"Ricky Pearsall","WR","SF",8,163,34.4,0.8,121,213,48.5,43.7,65.2,115,120,83,51,"8",25,113,5.79,66,2
"Woody Marks","RB","HOU",8,127,7.89,7.11,118,138,48.1,61.5,33.3,116,96,124,43,"13",25,129,2.94,20,1
"Quentin Johnston","WR","LAC",7,163,16.5,7.17,148,188,47.7,70.4,40.6,117,86,110,52,"9",24,120,5.29,27,3
"Travis Kelce","TE","KC",5,180,10.2,3.82,168,194,45.8,52.4,33.8,118,110,123,7,"3",36,91.7,6.58,6,13
"Sam LaPorta","TE","DET",6,176,15.3,5.62,163,197,42,46.8,36,119,116,119,8,"3",25,72.2,8.71,18,3
"Tyrone Tracy","RB","NYG",8,120,23.5,6.61,83.2,144,41,27.1,39.1,120,134,113,44,"14",26,131,3.67,55,2
"Makai Lemon","WR","PHI",10,155,28.4,4.7,120,192,40.6,42.7,44.6,121,121,106,53,"9",22,115,17.3,68,0
"Baker Mayfield","QB","TB",10,353,31.6,12.9,319,384,37.5,31.5,20.3,122,130,142,17,"3",31,113,6.51,56,8
"Dallas Goedert","TE","PHI",10,171,26.4,0.932,139,207,36.4,23.3,46.1,123,143,102,9,"3",31,111,4.09,63,8
"Jerry Jeudy","WR","CLE",11,151,17.8,3.66,133,177,35.9,55.2,29.2,124,104,132,54,"9",27,151,2.83,38,6
"Mark Andrews","TE","BAL",13,170,5.08,4.44,161,173,35.4,45.5,12.1,125,119,158,10,"4",30,107,6.26,1,8
"Jonathon Brooks","RB","CAR",5,113,36.4,2.23,57.5,144,34.4,1.43,39.2,126,186,112,45,"14",22,120,6.86,93,2
"Stefon Diggs","WR","FA",NA,147,NA,1.5,NA,NA,32.2,NA,NA,127,NA,NA,55,"9",32,146,4.55,96,11
"Isiah Pacheco","RB","DET",6,111,15.4,2.27,92.5,127,32.1,36.4,22.4,128,124,138,46,"14",27,134,3.67,39,4
"Jake Ferguson","TE","DAL",14,165,9.95,1.51,155,179,31,39.7,18.4,129,122,144,11,"4",27,116,4.44,8,4
"Rashid Shaheed","WR","SEA",11,146,48.4,0.296,74.9,199,30.7,-2.66,51.8,130,199,95,56,"9",27,146,2.72,78,4
"Theo Wease","WR","MIA",6,145,NA,0.586,NA,NA,30.4,NA,NA,131,NA,NA,57,"9",25,164,NA,99,1
"Alvin Kamara","RB","NO",8,109,19.6,9.08,81.1,121,29.9,25,16.4,132,139,149,47,"14",30,134,3.8,75,9
"Matthew Golden","WR","GB",11,145,34.7,4.18,95.5,185,29.8,17.9,37.3,133,150,117,58,"9",22,135,2.99,62,1
"Tucker Kraft","TE","GB",11,164,19.2,1.34,150,195,29.5,34.3,33.9,134,126,122,12,"4",25,78.7,10.3,29,3
"Isaiah Likely","TE","NYG",8,162,26.6,0.719,136,196,28.2,20.7,35,135,145,120,13,"4",26,116,5.65,69,4
"Brandon Aubrey","K","DAL",14,172,5.18,3.19,165,177,28.1,35.7,18,136,125,146,1,"1",31,107,5.59,1,3
"George Kittle","TE","SF",8,162,34.7,3.49,117,197,27.4,0.953,36.1,137,190,118,14,"4",32,80.6,9.07,82,9
"Jalen Coker","WR","CAR",5,141,24.2,1.87,111,167,25.6,33.8,19.7,138,128,143,59,"9",24,146,2.89,55,2
"Jason Myers","K","SEA",11,169,13.8,0.0809,159,191,24.9,29.6,31.5,139,132,126,2,"1",35,148,2.48,39,NA
"Kaimi Fairbairn","K","HOU",8,169,11.8,6.27,158,182,24.8,28.5,22.2,140,133,139,3,"1",32,133,2.07,6,10
"Tyler Shough","QB","NO",8,340,19.1,1.29,312,360,24.6,24.4,-3.52,141,140,217,18,"3",26,128,4.32,38,1
"Juwan Johnson","TE","NO",8,158,17.3,0.49,142,176,24,25.9,15.7,142,136,152,15,"4",29,141,3.05,43,6
"KC Concepcion","WR","CLE",11,139,38,0.584,80.9,178,23.8,3.34,30.5,143,182,128,60,"9",21,136,13.7,83,0
"Dalton Kincaid","TE","BUF",7,158,16,0.228,141,177,23.5,25.4,16,144,137,151,16,"4",26,119,3.83,39,3
"Kyler Murray","QB","MIN",6,339,36.8,4.77,296,394,23.3,8.95,29.8,145,169,131,19,"3",28,115,7.73,88,7
"Jayden Higgins","WR","HOU",8,138,10.9,0.889,123,150,23.2,45.9,2.16,147,118,187,61,"10",23,135,4.35,6,1
"Hunter Henry","TE","NE",11,158,9.26,7.55,148,167,23.2,31.8,6.75,146,129,168,17,"5",31,138,3.15,12,10
"Tre Tucker","WR","LVR",13,137,8.71,1.11,125,147,22.3,47.1,0,148,115,194,62,"10",25,165,2.77,44,3
"Calvin Ridley","WR","TEN",9,136,43,1.78,77.6,185,21.2,0,37.7,149,194,115,63,"10",31,152,2.48,90,8
"Justice Hill","RB","BAL",13,99.8,16.2,0.854,79.6,118,20.8,23.5,13,150,142,154,48,"14",28,180,2.09,83,7
"Tyler Allgeier","RB","ARI",14,98.9,12.8,2.04,86.2,112,19.9,30.2,7.09,151,131,167,49,"14",26,154,2.58,36,4
"Malik Washington","WR","MIA",6,134,27.6,2.9,103,169,19.4,25.4,21.2,152,138,140,64,"10",25,172,3.32,77,2
"Jordan Love","QB","GB",11,334,16.9,1.45,322,360,18.5,34.3,-3.39,154,127,214,20,"3",27,129,4.57,9,6
"Cameron Dicker","K","LAC",7,163,12.8,10.6,141,169,18.5,11.8,9.81,153,161,161,4,"2",26,130,2.17,35,4
"Dylan Sampson","RB","CLE",11,96.9,21.1,2.73,80.3,125,17.9,24.2,20.3,155,141,141,50,"15",21,163,2.28,61,1
"Sam Darnold","QB","SEA",11,333,24.4,7.18,303,364,17.1,15.5,0.107,156,153,193,21,"4",29,138,4.04,16,8
"Jauan Jennings","WR","MIN",6,131,30.4,5.71,101,171,16.5,23.2,23.7,157,144,137,65,"10",29,156,2.14,65,6
"Brenton Strange","TE","JAC",7,150,19.4,0.99,132,179,15.7,16.6,18.2,158,152,145,18,"5",25,144,2,47,3
"Ty Johnson","RB","BUF",7,94.1,8.85,2.23,83.1,104,15.2,27,-0.992,159,135,201,51,"15",28,206,1.21,58,7
"Texans","DST","HOU",8,66.5,12.1,0.793,52.9,84.1,14.8,9.59,25.2,160,168,135,1,"1",NA,100,3.91,42,NA
"Dalton Schultz","TE","HOU",8,149,11,1.6,134,163,14.7,17.9,2.29,161,149,185,19,"5",30,156,2.2,20,8
"Seahawks","DST","SEA",11,65.7,14.6,5.25,53,89.1,14,9.7,30.1,162,167,129,2,"2",NA,114,2.31,71,NA
"T.J. Hockenson","TE","MIN",6,147,16.6,8.48,130,167,13.1,14.1,6.74,163,156,169,20,"6",29,127,3.8,27,7
