Analyst,Model,Player,ID,Pos,Team,Opp,Game,Kickoff,Proj,Median,Floor_p10,p25,p75,Ceiling_p90,StdDev,Baseline_FFA,Market_PPR,Injury,Status,Note,Generated
Robert Burke,Model_Burke v1,Eli Raridon,,TE,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,2.67,1.46,0.0,0.0,3.95,7.16,2.92,2.4,,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Elijah Arroyo,00-0040739,TE,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,2.29,1.42,0.0,0.0,3.35,6.59,2.48,1.99,1.7,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Kyle Williams,00-0040131,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,2.21,0.97,0.0,0.05,3.23,6.73,2.35,1.93,,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Eric Saubert,00-0033576,TE,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,2.2,1.43,0.0,0.08,2.94,6.38,2.12,2.01,,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Reggie Gilliam,,RB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,1.5,0.81,0.25,0.49,1.74,3.41,0.93,0.5,,,,+0.6 (TreVeyon Henderson OUT),2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Ricky White,,WR,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,1.35,0.15,0.0,0.0,2.03,4.46,1.5,1.05,,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Efton Chism,00-0040563,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,1.35,0.19,0.0,0.0,2.06,4.44,1.53,0.96,,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Drew Lock,00-0035704,QB,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,0.94,0.0,0.0,0.0,2.58,7.87,1.91,0.57,,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Tommy DeVito,00-0038476,QB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,0.52,0.0,0.0,0.0,2.16,7.45,1.6,0.15,,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,TreVeyon Henderson,00-0040734,RB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.42,,Q,OUT,OUT (espn+sleeper); was 7.7,2026-09-09 15:06 ET
