Analyst,Model,Player,ID,Pos,Team,Opp,Game,Kickoff,Proj,Median,Floor_p10,p25,p75,Ceiling_p90,StdDev,Injury,Status,Note,pass_yds,pass_tds,pass_int,rush_yds,rush_tds,rec,rec_yds,rec_tds,fumbles_lost,fg_made,fg_40plus,xp_made,sacks,ints,def_td,pts_allowed_exp,Generated
Robert Burke,Model_Burke v1,Isaac TeSlaa,00-0040669,WR,DET,BUF,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,4.7,3.77,0.65,1.92,6.26,9.9,3.22,,,,0.0,0.0,0.0,0.03,0.0,1.72,17.13,0.21,0.0,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Dawson Knox,00-0035689,TE,BUF,DET,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,4.62,3.24,0.25,1.44,6.65,10.29,3.86,,,,0.0,0.0,0.0,0.0,0.0,2.05,14.75,0.18,0.0,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Keon Coleman,00-0039901,WR,BUF,DET,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,4.51,3.41,0.48,1.75,6.0,9.62,3.14,,,,0.0,0.0,0.0,0.04,0.0,1.82,15.38,0.19,0.0,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Brock Wright,00-0036754,TE,DET,BUF,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,3.57,2.36,0.18,1.19,5.09,8.79,2.89,,,,0.0,0.0,0.0,0.0,0.0,1.58,13.16,0.11,0.0,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Ray Davis,00-0039875,RB,BUF,DET,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,3.22,1.79,0.0,0.42,4.63,9.52,3.12,,,,0.0,0.0,0.0,11.24,0.12,0.46,5.32,0.06,0.0,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Lions,,DST,DET,,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,3.05,3.05,1.07,1.98,4.12,5.19,1.53,,,,,,,,,,,,,,,,1.59,0.51,0.05,29.5,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Jacob Saylors,00-0038896,RB,DET,BUF,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,3.0,1.62,0.0,0.2,4.36,9.34,3.08,,,,0.0,0.0,0.0,10.96,0.05,0.87,6.24,0.02,0.0,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Jackson Hawes,00-0040194,TE,BUF,DET,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,2.62,1.59,0.0,0.05,3.76,7.02,2.75,,,,0.0,0.0,0.0,0.0,0.0,0.91,9.99,0.12,0.0,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Keleki Latu,00-0040363,TE,BUF,DET,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,1.76,1.2,0.0,0.0,2.13,7.1,1.58,,,,0.0,0.0,0.0,0.0,0.0,0.71,7.06,0.06,0.0,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Skyler Bell,,WR,BUF,DET,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,1.0,0.02,0.0,0.0,1.32,3.56,0.98,,,,0.0,0.0,0.0,-0.07,0.0,0.48,4.51,0.01,0.0,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Kyle Allen,00-0034577,QB,BUF,DET,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,0.94,0.0,0.0,0.0,1.87,7.58,1.38,,,,11.47,0.13,0.03,0.09,0.0,0.0,0.0,0.0,0.0,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Joshua Dobbs,00-0033949,QB,DET,BUF,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,0.91,0.0,0.0,0.0,1.84,7.56,1.36,,,,12.82,0.1,0.02,0.46,0.0,0.0,0.0,0.0,0.0,,,,,,,,2026-09-16 17:46 ET
