"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Wan'Dale Robinson","WR","TEN",9,10.7,1.4,0.0316,9.27,12.5,0.199,0.984,0.338,118,81,119,34,"7",25,NA,NA,34,4
"Sonny Styles","LB","WAS",7,5.62,2.43,0.196,3.69,8.28,0.196,0.148,-0.114,119,114,141,9,"1",21,NA,NA,60,0
"Justin Reid","DB","NO",8,5.34,0.787,0.072,4.85,6.25,0.179,0.535,-0.465,120,91,185,6,"1",29,NA,NA,10,8
"D.J. Moore","WR","BUF",7,10.6,1.68,0.167,8.76,13.1,0.167,0.479,0.967,121,92,91,35,"7",29,NA,NA,69,8
"Brock Purdy","QB","SF",8,18.4,3.19,0.103,14.1,22.5,0.134,-0.888,1.81,122,247,69,11,"2",26,NA,NA,91,4
"Jessie Bates","DB","ATL",11,5.26,1.63,0.0545,3.93,7.03,0.107,-0.392,0.309,123,173,120,7,"1",29,NA,NA,69,8
"Seahawks","DST","SEA",11,6.19,1.06,0.0372,5.06,7.79,0.0762,-0.0798,0.472,124,135,112,1,"1",NA,NA,NA,81,NA
"Kenneth Gainwell","RB","TB",10,9.25,1.85,0.0754,6.87,11.6,0.0754,0.16,0.878,125,113,94,34,"8",27,NA,NA,66,5
"Kevin Byard","DB","NE",11,5.21,1.06,0.00277,4.18,5.99,0.0528,-0.137,-0.729,126,144,208,8,"1",33,NA,NA,24,10
"Kyle Hamilton","DB","BAL",13,5.21,1.23,0.0501,4.32,6.63,0.0501,0,-0.0892,127,130,136,9,"1",25,NA,NA,38,4
"Jaguars","DST","JAC",7,6.15,0.784,0.039,5.15,7.07,0.039,0.0149,-0.249,128,127,161,2,"1",NA,NA,NA,61,NA
"Matthew Stafford","QB","LAR",11,18.3,2.15,0.0316,16.5,21.8,0.0316,1.52,1.11,129,72,86,12,"2",38,NA,NA,53,17
"Jared Goff","QB","DET",6,18.3,1.03,1.15,17,19.7,0,1.96,-1.01,130,67,229,13,"3",31,NA,NA,6,10
"RJ Harvey","RB","DEN",10,9.17,1.4,0.306,6.94,10.5,0,0.226,-0.267,130,109,163,35,"8",25,NA,NA,34,1
"Jordan Addison","WR","MIN",6,10.5,1.07,0.101,8.73,11.4,0,0.45,-0.759,130,96,211,36,"7",24,NA,NA,11,3
"Mark Andrews","TE","BAL",13,9.33,1.38,0.228,7.07,10.3,0,-0.571,-0.187,130,193,150,13,"5",31,NA,NA,54,8
"Harrison Mevis","K","LAR",11,8.13,1.54,0.107,5.87,8.9,0,-0.225,-0.736,130,156,209,8,"2",24,NA,NA,57,2
"Chargers","DST","LAC",7,6.11,0.833,0.259,5.15,7.32,0,0.00953,0,130,128,130,3,"2",NA,NA,NA,71,NA
"Nik Bonitto","DL","DEN",10,4.25,0.925,0.0696,3.42,5.17,0,-0.0909,0.00372,130,137,129,10,"2",26,NA,NA,27,4
