snapshot,season,week_of_paste,table,team,player,week,value
2026-09-10,2026,1,dst,DET,,9,7.5
2026-09-10,2026,1,dst,DET,,10,3.3
2026-09-10,2026,1,dst,DET,,11,4.6
2026-09-10,2026,1,dst,DET,,12,4.8
2026-09-10,2026,1,dst,DET,,13,4.9
2026-09-10,2026,1,dst,DET,,14,7.0
2026-09-10,2026,1,dst,DET,,15,5.6
2026-09-10,2026,1,dst,DET,,16,5.3
2026-09-10,2026,1,dst,DET,,17,4.6
2026-09-10,2026,1,dst,DET,,avg,5.4
2026-09-10,2026,1,dst,DET,,playoffs,5.2
2026-09-10,2026,1,dst,DEN,,1,5.7
2026-09-10,2026,1,dst,DEN,,2,5.9
2026-09-10,2026,1,dst,DEN,,3,3.3
2026-09-10,2026,1,dst,DEN,,4,3.5
2026-09-10,2026,1,dst,DEN,,5,4.1
2026-09-10,2026,1,dst,DEN,,6,4.6
2026-09-10,2026,1,dst,DEN,,7,7.3
2026-09-10,2026,1,dst,DEN,,8,5.0
2026-09-10,2026,1,dst,DEN,,9,6.7
2026-09-10,2026,1,dst,DEN,,11,8.7
2026-09-10,2026,1,dst,DEN,,12,6.1
2026-09-10,2026,1,dst,DEN,,13,7.9
2026-09-10,2026,1,dst,DEN,,14,6.9
2026-09-10,2026,1,dst,DEN,,15,7.2
2026-09-10,2026,1,dst,DEN,,16,4.4
2026-09-10,2026,1,dst,DEN,,17,3.8
2026-09-10,2026,1,dst,DEN,,avg,5.7
2026-09-10,2026,1,dst,DEN,,playoffs,5.1
2026-09-10,2026,1,dst,DAL,,1,5.7
2026-09-10,2026,1,dst,DAL,,2,6.5
2026-09-10,2026,1,dst,DAL,,3,5.2
2026-09-10,2026,1,dst,DAL,,4,4.8
2026-09-10,2026,1,dst,DAL,,5,5.0
2026-09-10,2026,1,dst,DAL,,6,5.7
2026-09-10,2026,1,dst,DAL,,7,6.7
2026-09-10,2026,1,dst,DAL,,8,8.1
2026-09-10,2026,1,dst,DAL,,9,5.4
2026-09-10,2026,1,dst,DAL,,10,5.1
2026-09-10,2026,1,dst,DAL,,11,8.1
2026-09-10,2026,1,dst,DAL,,12,6.3
2026-09-10,2026,1,dst,DAL,,13,6.0
2026-09-10,2026,1,dst,DAL,,15,3.6
2026-09-10,2026,1,dst,DAL,,16,5.2
2026-09-10,2026,1,dst,DAL,,17,5.5
2026-09-10,2026,1,dst,DAL,,avg,5.8
2026-09-10,2026,1,dst,DAL,,playoffs,4.7
2026-09-10,2026,1,dst,ATL,,1,5.4
2026-09-10,2026,1,dst,ATL,,2,6.3
2026-09-10,2026,1,dst,ATL,,3,3.8
2026-09-10,2026,1,dst,ATL,,4,5.2
