name,position,team,age,years_exp,is_rookie,draft_round,exp_price,prior_ppg,prior_snap_pct,prior_target_share,vac_pc_targets,vac_rb_carries,ht_d_ppg,proj_pts,prob_raw,p_hit,young,player_id
Brock Wright,TE,DET,28.0,5.0,0,8.0,1.0,4.6,0.5763636363636363,0.04,51.0,161.0,-0.627,33.747931034482754,0.011844610848667714,0.047589671961461376,0,00-0036754
Roman Wilson,WR,PIT,25.0,2.0,0,3.0,1.0,4.288888888888889,0.33076923076923076,0.040229885057471264,191.0,114.0,,35.544112149532715,0.0100961042893884,0.047589671961461376,1,00-0039739
Davis Allen,TE,LA,25.0,3.0,0,5.0,1.0,4.1866666666666665,0.5029411764705882,0.05679862306368331,15.0,0.0,1.6,39.11551724137931,0.007471436258989556,0.0469523462587753,0,00-0039074
Matthew Hibner,TE,BAL,24.0,0.0,1,4.0,0.0,,,,,,,33.414894173952014,0.011431225701238534,0.04601155380338481,1,HIB564972
Kendrick Bourne,WR,SF,31.0,9.0,0,8.0,1.0,6.578571428571428,0.566875,0.09636363636363636,,,4.157,46.33644859813084,0.0034922671693239167,0.04570196246228263,0,00-0033307
Keaton Mitchell,RB,BAL,24.0,3.0,0,8.0,1.0,4.261538461538462,0.17461538461538464,0.029484029484029485,,,1.7,42.408750000000005,0.005408728059940122,0.04478504683769523,0,00-0038454
Jaren Kanak,TE,TEN,22.0,0.0,1,7.0,0.0,,,,,,,51.26680785934923,0.0023894362033619505,0.04373747196003643,1,KAN023071
Hunter Long,TE,JAX,28.0,5.0,0,3.0,0.0,4.642857142857143,0.3988888888888889,0.031078610603290677,80.0,260.0,-0.81,34.473103448275864,0.009327654441551548,0.043589740379289636,0,00-0037004
Roschon Johnson,RB,CHI,25.0,3.0,0,4.0,0.0,0.2833333333333334,0.008571428571428572,0.0,161.0,1.0,-4.202,40.45,0.005850068233076469,0.04329570480227449,0,00-0039021
Jalen Tolbert,WR,DAL,27.0,4.0,0,3.0,1.0,3.858333333333333,0.5130769230769231,0.05601317957166392,,,-2.779,41.30242990654206,0.004769599305375305,0.04185372119977348,0,00-0037666
Luke Schoonmaker,TE,DAL,28.0,3.0,0,2.0,1.0,1.942857142857143,0.3294117647058824,0.03789126853377265,34.0,20.0,2.038,41.90793103448276,0.004638743461212141,0.04157088698234135,0,00-0038547
Cam Akers,RB,SEA,27.0,6.0,0,2.0,0.0,2.295,0.024999999999999998,0.002136752136752137,,,0.806,37.125,0.0066266776781014666,0.04073331514826535,0,00-0036414
Demarcus Robinson,WR,SF,32.0,10.0,0,4.0,1.0,4.1571428571428575,0.46785714285714286,0.06363636363636363,150.0,92.0,-6.04,46.27710280373831,0.002724579219584488,0.03991191599936394,0,00-0032775
Elijah Sarratt,WR,BAL,23.0,0.0,1,4.0,0.0,,,,,,,32.38907593454313,0.008804663418016763,0.03857808660403636,1,SAR527100
Xavier Smith,WR,LA,29.0,3.0,0,8.0,1.0,3.01875,0.21437499999999998,0.04130808950086059,15.0,0.0,-0.858,27.646728971962617,0.011175729510090415,0.03805662264387711,0,00-0038359
Christian Kirk,WR,HOU,30.0,8.0,0,2.0,1.0,5.263636363636365,0.48615384615384627,0.09403254972875226,,,,27.738084112149533,0.010703281453808455,0.037287101697006365,0,00-0034775
Lil'Jordan Humphrey,WR,DEN,28.0,7.0,0,8.0,0.0,4.942857142857143,0.484,0.04970178926441352,0.0,0.0,0.878,51.23214953271029,0.0016483600206080148,0.03678242048981322,0,00-0035406
Treylon Burks,WR,WAS,26.0,4.0,0,1.0,1.0,3.625,0.60125,0.05092592592592592,215.0,126.0,,30.79644859813084,0.008829332210243577,0.03678242048981322,0,00-0037742
Sterling Shepard,WR,TB,33.0,10.0,0,2.0,1.0,6.3076923076923075,0.5615384615384615,0.09796672828096119,,,-1.845,36.17275700934579,0.006053343538112415,0.03653254985103572,0,00-0032385
Ben Sinnott,TE,WAS,24.0,2.0,0,2.0,1.0,3.1555555555555554,0.360625,0.03009259259259259,215.0,126.0,-1.7,37.21103448275861,0.005544912050097783,0.036284312693749494,1,00-0039912
LeQuint Allen Jr.,RB,JAX,22.0,1.0,0,7.0,1.0,1.55,0.22588235294117645,0.02010968921389397,80.0,260.0,,42.08625,0.002967483272012931,0.03603769920572645,1,00-0040238
Drew Sample,TE,CIN,30.0,7.0,0,2.0,1.0,2.658333333333333,0.5358823529411766,0.03289473684210526,41.0,0.0,-1.936,23.784310344827585,0.012972092482531887,0.03603769920572645,0,00-0035631
Tyler Lockett,WR,LV,34.0,11.0,0,3.0,1.0,3.9470588235294115,0.4999999999999999,0.10377358490566038,,,-6.503,40.69808411214954,0.0034167166784580816,0.03603769920572643,0,00-0032211
De'Zhaun Stribling,WR,SF,23.0,0.0,1,8.0,0.0,0.0,,0.0,,,,143.8879266808198,0.00028981729015742754,0.035549304224395104,1,
Taysom Hill,TE,NO,36.0,9.0,0,8.0,1.0,3.367692307692308,0.24615384615384614,0.02831858407079646,,,11.583,33.4051724137931,0.007430758906739205,0.035549304224395104,0,00-0033357
De'Zhaun Stribling,WR,SF,23.0,0.0,1,8.0,0.0,0.0,,0.0,,,,143.8879266808198,0.00028981729015742754,0.035549304224395104,1,
De'Zhaun Stribling,WR,SF,23.0,0.0,1,8.0,0.0,0.0,,0.0,,,,143.8879266808198,0.00028981729015742754,0.035549304224395104,1,
Shedrick Jackson,WR,LV,27.0,3.0,0,8.0,0.0,5.3,0.09,0.010121457489878543,58.0,34.0,,19.71210280373832,0.01700505218876981,0.035549304224395104,0,00-0038891
De'Zhaun Stribling,WR,SF,23.0,0.0,1,8.0,0.0,0.0,,0.0,,,,143.8879266808198,0.00028981729015742754,0.035549304224395104,1,
De'Zhaun Stribling,WR,SF,23.0,0.0,1,8.0,0.0,0.0,,0.0,,,,143.8879266808198,0.00028981729015742754,0.035549304224395104,1,
De'Zhaun Stribling,WR,SF,23.0,0.0,1,8.0,0.0,0.0,,0.0,,,,143.8879266808198,0.00028981729015742754,0.035549304224395104,1,
Brandin Cooks,WR,BUF,33.0,12.0,0,1.0,1.0,3.992307692307693,0.5453333333333334,0.06371681415929203,,,1.475,42.82144859813084,0.002798673901051036,0.035428205071505056,0,00-0031236
Nicholas Singleton,RB,TEN,22.0,0.0,1,8.0,0.0,0.0,,0.0,,,,77.73180612039228,0.00044980094473278905,0.03342935380699424,1,
Nicholas Singleton,RB,TEN,22.0,0.0,1,8.0,0.0,0.0,,0.0,,,,77.73180612039228,0.00044980094473278905,0.03342935380699424,1,
Nicholas Singleton,RB,TEN,22.0,0.0,1,8.0,0.0,0.0,,0.0,,,,77.73180612039228,0.00044980094473278905,0.03342935380699424,1,
Nicholas Singleton,RB,TEN,22.0,0.0,1,8.0,0.0,0.0,,0.0,,,,77.73180612039228,0.00044980094473278905,0.03342935380699424,1,
Nicholas Singleton,RB,TEN,22.0,0.0,1,8.0,0.0,0.0,,0.0,,,,77.73180612039228,0.00044980094473278905,0.03342935380699424,1,
Nicholas Singleton,RB,TEN,22.0,0.0,1,8.0,0.0,0.0,,0.0,,,,77.73180612039228,0.00044980094473278905,0.03342935380699424,1,
Tyler Higbee,TE,LA,33.0,10.0,0,4.0,1.0,7.109999999999999,0.5549999999999999,0.06196213425129088,15.0,0.0,8.867,33.726034482758614,0.006159861865134897,0.03342935380699424,0,00-0033110
Oscar Delp,TE,NO,23.0,0.0,1,8.0,0.0,0.0,,0.0,,,,78.76989327815214,0.0004441476326827406,0.03342935380699424,1,
