player_id,player_display_name,position,team,prior_ppg,pred_ppg,proj_games,proj_total_pred,finish_pred,vbd_pred
00-0035719,Deebo Samuel Sr.,WR,WAS,11.7625,11.220509032168032,13.4875,151.33661557136634,25.0,23.004484298457836
00-0031588,Stefon Diggs,WR,NE,12.370588235294118,11.082332014092115,14.037500000000001,155.56823564781808,24.0,22.002912738201537
00-0039893,Brian Thomas Jr.,WR,JAX,9.914285714285715,11.232719597270572,12.387500000000001,139.1453140111892,32.0,21.279566011696797
00-0030506,Travis Kelce,TE,KC,11.36470588235294,11.097567868581157,13.592391304347828,150.84248499631238,7.0,20.828709091503498
00-0038134,Kenneth Walker III,RB,SEA,11.288235294117648,12.31106924721283,14.052649006622518,173.0031350273064,16.0,20.28363689997513
00-0039919,Rome Odunze,WR,CHI,12.175000000000002,11.30886412839993,11.287500000000001,127.64880384931423,43.0,20.24943912323788
00-0037664,Alec Pierce,WR,IND,12.22,10.996613138432796,12.9375,142.2686824784743,29.0,19.16974284227384
00-0040666,Omarion Hampton,RB,LAC,15.077777777777776,12.804376197982617,9.652649006622518,123.59614918787791,29.0,18.69438218323987
00-0036259,Jauan Jennings,WR,SF,11.553333333333335,10.725151884973755,12.9375,138.75665251184796,33.0,15.657712875647501
00-0030279,Keenan Allen,WR,LAC,10.74705882352941,10.404534885483965,14.037500000000001,146.0536584549812,26.0,12.488335545364631
00-0036355,Justin Herbert,QB,LAC,17.93,18.424355659752862,12.48888888888889,230.09973068402468,6.0,12.435555997669608
00-0031408,Mike Evans,WR,TB,10.600000000000001,10.868273395474763,9.0875,98.76543448137691,59.0,12.298836302132722
00-0034960,Jakobi Meyers,WR,JAX,10.9875,10.421862917173568,13.4875,140.5648760953785,30.0,12.232744822470009
00-0035640,DK Metcalf,WR,PIT,12.479999999999999,10.429681540390092,12.9375,134.9340049287968,34.0,11.835065292596363
00-0039851,Drake Maye,QB,NE,20.703529411764706,18.335721747718335,13.038888888888891,239.077438566083,2.0,11.827519531885779
00-0038994,Jordan Addison,WR,MIN,9.650000000000002,10.402233519034338,12.387500000000001,128.85766771703788,42.0,10.991919717545448
00-0036442,Joe Burrow,QB,CIN,16.8075,18.756726037051866,8.08888888888889,151.7210728330418,26.0,10.742852929423915
00-0035659,Terry McLaurin,WR,WAS,11.42,10.544712374256678,10.1875,107.42425731273991,50.0,10.491275860079643
00-0036971,Trevor Lawrence,QB,JAX,19.892941176470586,18.206926298787998,13.038888888888891,237.39808901808578,3.0,10.148169983888556
00-0038124,Christian Watson,WR,GB,13.24,10.49886359485593,10.1875,106.95717287259478,51.0,10.024191419934525
00-0040735,Luther Burden III,WR,CHI,8.526666666666667,10.248837233903098,12.9375,132.59433171362133,37.0,9.495392077420874
00-0036252,Michael Pittman,WR,IND,11.905882352941177,10.166084263766246,14.037500000000001,142.7064078526187,28.0,9.141084943002147
00-0034351,Dallas Goedert,TE,PHI,12.34,10.296390483244343,12.492391304347827,128.62653893905136,10.0,9.134469648849961
00-0036389,Jalen Hurts,QB,PHI,18.81625,18.14641130694699,12.48888888888889,226.628514544538,8.0,8.964339858182948
00-0033090,Hunter Henry,TE,NE,10.51764705882353,10.194666529603918,13.592391304347828,138.56989668771413,8.0,8.556120782905262
00-0033921,Chris Godwin Jr.,WR,TB,9.222222222222221,10.336601521241816,9.6375,99.618997160968,56.0,7.919207345015778
00-0038996,Tucker Kraft,TE,GB,14.65,10.362153103108406,8.642391304347827,89.55378187262494,22.0,6.887685733549745
00-0033873,Patrick Mahomes,QB,KC,20.405714285714286,17.99470100479178,11.388888888888891,204.93965033235085,12.0,6.446964341680078
00-0037740,Garrett Wilson,WR,NYJ,14.214285714285714,10.25452942572072,8.537500000000001,87.54804497209066,70.0,6.314638429554509
00-0037261,Khalil Shakir,WR,BUF,10.4,9.981457385872929,13.4875,134.62490649196113,35.0,6.292775219052637
00-0038563,Tre Tucker,WR,LV,9.511764705882353,9.916317117208578,14.037500000000001,139.20030153281544,31.0,5.6349786231988865
00-0039065,Sam LaPorta,TE,DET,11.877777777777778,10.139670938894692,9.192391304347826,93.20782296764392,17.0,5.280873521264996
00-0039732,Bo Nix,QB,DEN,17.931764705882355,17.82623463548848,13.038888888888891,232.43429271939704,4.0,5.184373685199826
00-0039849,Marvin Harrison Jr.,WR,ARI,10.65,9.900440339512222,11.287500000000001,111.75122033224423,48.0,4.351855606167874
00-0039361,Bucky Irving,RB,TB,13.85,11.207185348927865,10.202649006622517,114.34297846727331,31.0,3.4639950722986206
00-0033106,Jared Goff,QB,DET,17.474117647058822,17.662698466192303,13.038888888888891,230.3019627786297,5.0,3.0520437444324657
00-0040784,Quinshon Judkins,RB,CLE,12.12857142857143,11.075536383083847,12.402649006622518,137.36599031946642,22.0,2.578141363145117
00-0034796,Lamar Jackson,QB,BAL,16.52769230769231,17.63621608377504,10.83888888888889,191.1569865524728,15.0,2.2500449096442026
00-0037228,Jaylen Warren,RB,PIT,13.56875,10.996731456273437,13.502649006622518,148.4850050741451,19.0,1.7427233371505049
00-0039894,Xavier Worthy,WR,KC,7.8500000000000005,9.61141044412522,12.387500000000001,119.06134687660116,45.0,1.1955988771087414
00-0037816,Romeo Doubs,WR,GB,10.3375,9.596929112845993,13.4875,129.43858140951033,40.0,1.1064501366018415
00-0040715,Cam Skattebo,RB,NYG,15.9625,10.986650979287031,9.102649006622517,100.0076276227154,38.0,1.0830770084140127
00-0034855,Baker Mayfield,QB,TB,15.99529411764706,17.492277861555145,13.038888888888891,228.07986745038852,7.0,0.8299484161912978
00-0038606,Parker Washington,WR,JAX,11.54375,9.562705744421393,13.4875,128.97699372788355,41.0,0.6448624549750485
00-0040691,Jaxson Dart,QB,NYG,17.255714285714284,17.428626086985723,11.388888888888891,198.49268599067076,14.0,0.0
00-0039868,Troy Franklin,WR,DEN,10.417647058823531,9.514893884923707,14.037500000000001,133.56532290961655,36.0,0.0
00-0040736,Mason Taylor,TE,NYJ,6.838461538461539,9.565187831461348,11.392391304347827,108.9703626755939,14.0,0.0
00-0033906,Alvin Kamara,RB,NO,9.154545454545454,10.86766616424846,10.752649006622518,116.85619978531135,30.0,0.0
00-0034383,Dalton Schultz,TE,HOU,10.452941176470588,9.489609376122372,13.592391304347828,128.98648396566335,9.0,-1.027291939145532
00-0036158,J.K. Dobbins,RB,DEN,11.59,10.69775999250467,10.202649006622517,109.14549036061388,33.0,-1.7334930343608135
00-0037834,Brock Purdy,QB,SF,19.70888888888889,17.15644210462804,8.63888888888889,148.2125970705367,27.0,-2.351367180923304
00-0036040,Juwan Johnson,TE,NO,10.58235294117647,9.38458136291968,13.592391304347828,127.55890211229416,11.0,-2.454873792514722
00-0034827,DJ Moore,WR,CHI,10.128235294117648,9.255413338655762,14.037500000000001,129.92286474138027,39.0,-3.6424581682362724
00-0036875,Rhamondre Stevenson,RB,NE,12.771428571428572,10.57098082868975,12.402649006622518,131.1081648739746,25.0,-3.6796840823467005
00-0040667,Matthew Golden,WR,GB,5.0,9.130765584694931,12.387500000000001,113.10735868040847,46.0,-4.758389319083959
00-0039910,Jayden Daniels,QB,WAS,16.325714285714287,16.753734738690028,7.53888888888889,126.30454466890205,30.0,-5.087930886873657
00-0026498,Matthew Stafford,QB,LA,20.610588235294117,16.95334744739128,13.038888888888891,221.052813661263,9.0,-6.197105372934206
00-0033077,Dak Prescott,QB,DAL,18.457647058823532,16.944566307255158,13.038888888888891,220.93831735071035,10.0,-6.311601683486866
00-0039918,Caleb Williams,QB,CHI,18.716470588235296,16.808273286781308,13.038888888888891,219.16120780042075,11.0,-8.08871123377646
00-0038041,Jake Ferguson,TE,DAL,11.064705882352941,8.933009074803481,13.592391304347828,121.42095487001907,13.0,-8.592821034789809
00-0036139,Rico Dowdle,RB,CAR,12.723529411764707,10.17359146292285,14.052649006622518,142.96590996522613,20.0,-9.75358816210515
00-0030061,Zach Ertz,TE,WAS,9.723076923076924,8.707077614718608,11.392391304347827,99.19443530420189,16.0,-9.775927371392012
00-0040730,RJ Harvey,RB,DEN,12.15294117647059,10.049077480940978,14.052649006622518,141.21615868001797,21.0,-11.50333944731332
00-0035710,Daniel Jones,QB,IND,17.41846153846154,16.339252753317915,10.83888888888889,177.09934512068475,21.0,-11.807596522143855
00-0040130,Jayden Higgins,WR,HOU,7.617647058823529,8.671508330612667,14.037500000000001,121.72629819097533,44.0,-11.839024718641216
00-0039901,Keon Coleman,WR,BUF,8.533333333333333,8.459584734742762,11.287500000000001,95.48756269340895,61.0,-11.911802032667412
00-0038933,Dalton Kincaid,TE,BUF,10.508333333333333,8.439184645512574,10.842391304347828,91.50094221629124,19.0,-12.208567151998933
00-0038935,Brenton Strange,TE,JAX,9.833333333333334,8.411905471177258,10.842391304347828,91.20517073368822,20.0,-12.504338634601952
00-0040718,Travis Hunter,WR,JAX,9.114285714285714,7.932636297021116,8.537500000000001,67.72488238581779,88.0,-13.508524156718371
00-0039384,Tyrone Tracy Jr.,RB,NYG,10.72,9.789281331579062,12.952649006622517,126.79712511502588,28.0,-13.967940231632069
00-0040189,Oronde Gadsden II,TE,LAC,8.76,8.39672894023219,12.492391304347827,104.89522359792235,15.0,-14.596845692279029
00-0033553,James Conner,RB,ARI,11.1,8.457904054379668,6.352649006622517,53.730095789163556,65.0,-15.308372873454562
00-0035228,Kyler Murray,QB,ARI,15.556000000000001,14.845071160854124,6.43888888888889,95.58576375238852,35.0,-16.635223107702913
00-0038608,Kayshon Boutte,WR,NE,8.864285714285714,8.130373783791894,12.387500000000001,100.7150052467221,55.0,-17.150742752770327
00-0039146,Jayden Reed,WR,GB,9.7,7.178438329412559,7.4375,53.38963507500591,106.0,-17.377388194114157
00-0039165,Zach Charbonnet,RB,SEA,11.3375,9.554436044750302,13.502649006622518,129.01019636848605,26.0,-17.73208536850857
00-0033119,Jacoby Brissett,QB,ARI,16.24571428571429,15.846269503839409,11.388888888888891,180.47140268261552,20.0,-18.02128330805525
00-0038997,Josh Downs,WR,IND,8.65,8.173804714447334,13.4875,110.24419108610842,49.0,-18.08794018680008
00-0035261,Tony Pollard,RB,TEN,10.929411764705883,9.564987301526031,14.052649006622518,134.41340930114677,23.0,-18.306088826184492
00-0036919,Kenneth Gainwell,RB,PIT,13.01764705882353,9.549030762156555,14.052649006622518,134.1891776540272,24.0,-18.530320473304094
00-0039916,Ricky Pearsall,WR,SF,9.844444444444443,7.4211930053507436,9.6375,71.52174758906779,84.0,-20.17804222688443
00-0036407,Jerry Jeudy,WR,CLE,7.1000000000000005,8.007700068275984,14.037500000000001,112.40808970842413,47.0,-21.157233201192412
00-0039855,Jalen McMillan,WR,TB,7.4750000000000005,6.400189975920937,6.8875,44.08130845915546,123.0,-21.452523173256576
00-0033040,Tyreek Hill,WR,MIA,13.375,6.2780555740737976,6.8875,43.24010776643328,124.0,-22.293723865978748
00-0036893,Najee Harris,RB,LAC,3.8666666666666667,7.165304864697709,6.352649006622517,45.51866683086939,75.0,-23.51980183174873
00-0036264,Jordan Love,QB,GB,15.676,15.452447793823744,11.93888888888889,184.48505727181794,18.0,-23.593373066694966
00-0034869,Sam Darnold,QB,SEA,13.848235294117648,15.58614209113045,13.038888888888891,203.2259749326843,13.0,-24.02394410151293
00-0038976,Marvin Mims Jr.,WR,DEN,6.333333333333333,7.657689859459321,12.9375,99.07136255675496,57.0,-24.02757707944549
00-0034837,Calvin Ridley,WR,TEN,6.757142857142857,6.684219960969033,8.537500000000001,57.066527916773126,100.0,-24.16687862576303
00-0035685,David Montgomery,RB,DET,9.818823529411766,9.1143971076807,14.052649006622518,128.08142346121235,27.0,-24.63807466611893
00-0031610,Darren Waller,TE,MIA,9.855555555555556,6.8499281326083485,9.192391304347826,62.96721980159652,41.0,-24.959729644782406
00-0040727,Tre Harris,WR,LAC,4.3375,7.6448554423110915,13.4875,103.10998777817085,53.0,-25.222143494737647
00-0040134,Pat Bryant,WR,DEN,5.753846153846155,7.297744405432111,11.8375,86.38704939930261,71.0,-26.245506963481766
00-0038621,DeMario Douglas,WR,NE,5.987500000000001,7.483917482016666,13.4875,100.93933703869978,54.0,-27.392794234208715
00-0033885,David Njoku,TE,CLE,7.845454545454545,6.870271787363939,10.292391304347827,70.7115256027708,33.0,-27.737130458215614
00-0039163,C.J. Stroud,QB,HOU,14.895714285714286,14.972360104146794,11.388888888888891,170.51854563056074,22.0,-27.974140360110027
