season,overall_pick,round,round_pick,team,owner,player,pos,bid,keeper
2023,89,8,5,Hand motion @ 6 inches,espn19238790,Zach Charbonnet,RB,6,False
2023,90,8,6,Team 2ITP 1ITS,ESPNFAN25233150,Javonte Williams,RB,8,False
2023,91,8,7,Hand motion @ 6 inches,espn19238790,Breece Hall,RB,12,False
2023,92,8,8,ILM Matt Ulrich aka Chest,espn98580191,Evan Engram,TE,2,False
2023,93,8,9,Hand motion @ 6 inches,espn19238790,James Cook,RB,15,False
2023,94,8,10,Rollin' with Ma-homes,eyedocjj,Antonio Gibson,RB,2,False
2023,95,8,11,De'Von Corleone,BobbyeddyB,Mike Evans,WR,8,False
2023,96,8,12,Etienne all the Capicola,CBPainTrain,Miles Sanders,RB,9,False
2023,97,9,1,ILM Matt Ulrich aka Chest,espn98580191,Raheem Mostert,RB,4,False
2023,98,9,2,Ugh...Yeah...What...Football!,kdoggs80,Jaxon Smith-Njigba,WR,3,False
2023,99,9,3,"Hahaha nice name, i got nothing",Rohabhabibo,Treylon Burks,WR,3,False
2023,100,9,4,You gonna get Butkus'd,funblood,Dalvin Cook,RB,11,False
2023,101,9,5,Rollin' with Ma-homes,eyedocjj,George Kittle,TE,8,False
2023,102,9,6,Team 2ITP 1ITS,ESPNFAN25233150,Jason Myers,K,1,False
2023,103,9,7,You gonna get Butkus'd,funblood,Steelers D/ST,DST,1,False
2023,104,9,8,Etienne all the Capicola,CBPainTrain,Brandon Aiyuk,WR,10,False
2023,105,9,9,Nacua please!!,silverandblack.27,Jordan Addison,WR,6,False
2023,106,9,10,Chasin' the Dream,RPT0777,Jake Elliott,K,1,False
2023,107,9,11,Hand motion @ 6 inches,espn19238790,Terry McLaurin,WR,10,False
2023,108,9,12,De'Von Corleone,BobbyeddyB,Patriots D/ST,DST,1,False
2023,109,10,1,Team 2ITP 1ITS,ESPNFAN25233150,Brian Robinson Jr.,RB,3,False
2023,110,10,2,Ugh...Yeah...What...Football!,kdoggs80,Saints D/ST,DST,1,False
2023,111,10,3,You gonna get Butkus'd,funblood,Marvin Mims Jr.,WR,5,False
2023,112,10,4,ILM Matt Ulrich aka Chest,espn98580191,Daniel Jones,QB,1,False
2023,113,10,5,Hand motion @ 6 inches,espn19238790,Riley Patterson,K,1,False
2023,114,10,6,Team 2ITP 1ITS,ESPNFAN25233150,Cole Kmet,TE,1,False
2023,115,10,7,You gonna get Butkus'd,funblood,George Pickens,WR,7,False
2023,116,10,8,"Hahaha nice name, i got nothing",Rohabhabibo,Jerry Jeudy,WR,9,False
2023,117,10,9,Etienne all the Capicola,CBPainTrain,Brandon McManus,K,1,False
2023,118,10,10,De'Von Corleone,BobbyeddyB,Skyy Moore,WR,2,False
2023,119,10,11,Team 2ITP 1ITS,ESPNFAN25233150,Drake London,WR,7,False
2023,120,10,12,De'Von Corleone,BobbyeddyB,De'Von Achane,RB,1,False
2023,121,11,1,Nacua please!!,silverandblack.27,Deshaun Watson,QB,7,False
2023,122,11,2,3AM  No Limit,espn14211458,Aaron Rodgers,QB,2,False
2023,123,11,3,"Hahaha nice name, i got nothing",Rohabhabibo,Samaje Perine,RB,5,False
2023,124,11,4,Team 2ITP 1ITS,ESPNFAN25233150,Brandin Cooks,WR,8,False
2023,125,11,5,Hand motion @ 6 inches,espn19238790,Cowboys D/ST,DST,1,False
2023,126,11,6,Team 2ITP 1ITS,ESPNFAN25233150,Geno Smith,QB,1,False
2023,127,11,7,You gonna get Butkus'd,funblood,Dallas Goedert,TE,9,False
2023,128,11,8,You gonna get Butkus'd,funblood,Tank Bigsby,RB,4,False
2023,129,11,9,Chasin' the Dream,RPT0777,Jaylen Warren,RB,2,False
2023,130,11,10,Chasin' the Dream,RPT0777,Tua Tagovailoa,QB,1,False
2023,131,11,11,3AM  No Limit,espn14211458,Michael Pittman Jr.,WR,3,False
2023,132,11,12,Hand motion @ 6 inches,espn19238790,Dak Prescott,QB,8,False
2023,133,12,1,You gonna get Butkus'd,funblood,Jahan Dotson,WR,9,False
2023,134,12,2,Chasin' the Dream,RPT0777,Gabe Davis,WR,4,False
2023,135,12,3,ILM Matt Ulrich aka Chest,espn98580191,Jamaal Williams,RB,5,False
2023,136,12,4,3AM  No Limit,espn14211458,Marquise Brown,WR,2,False
2023,137,12,5,Hand motion @ 6 inches,espn19238790,Quentin Johnston,WR,8,False
2023,138,12,6,You gonna get Butkus'd,funblood,Graham Gano,K,1,False
2023,139,12,7,Rollin' with Ma-homes,eyedocjj,Browns D/ST,DST,1,False
2023,140,12,8,Etienne all the Capicola,CBPainTrain,Juwan Johnson,TE,1,False
2023,141,12,9,Nacua please!!,silverandblack.27,Jerick McKinnon,RB,2,False
2023,142,12,10,3AM  No Limit,espn14211458,David Njoku,TE,1,False
2023,143,12,11,De'Von Corleone,BobbyeddyB,Kenny Pickett,QB,1,False
2023,144,12,12,Nacua please!!,silverandblack.27,Russell Wilson,QB,1,False
2023,145,13,1,Hand motion @ 6 inches,espn19238790,Jared Goff,QB,2,False
2023,146,13,2,Nacua please!!,silverandblack.27,Courtland Sutton,WR,5,False
2023,147,13,3,ILM Matt Ulrich aka Chest,espn98580191,Ravens D/ST,DST,1,False
2023,148,13,4,3AM  No Limit,espn14211458,Rashaad Penny,RB,4,False
2023,149,13,5,Rollin' with Ma-homes,eyedocjj,Tyjae Spears,RB,1,False
2023,150,13,6,Etienne all the Capicola,CBPainTrain,Kenneth Gainwell,RB,1,False
2023,151,13,7,ILM Matt Ulrich aka Chest,espn98580191,Elijah Moore,WR,2,False
2023,152,13,8,3AM  No Limit,espn14211458,Roschon Johnson,RB,4,False
2023,153,13,9,De'Von Corleone,BobbyeddyB,Deuce Vaughn,RB,1,False
2023,154,13,10,Nacua please!!,silverandblack.27,Gerald Everett,TE,1,False
2023,155,13,11,Ugh...Yeah...What...Football!,kdoggs80,Matthew Stafford,QB,1,False
2023,156,13,12,De'Von Corleone,BobbyeddyB,Michael Thomas,WR,4,False
2023,157,14,1,ILM Matt Ulrich aka Chest,espn98580191,Tyler Higbee,TE,3,False
2023,158,14,2,3AM  No Limit,espn14211458,JuJu Smith-Schuster,WR,2,False
2023,159,14,3,Ugh...Yeah...What...Football!,kdoggs80,Kadarius Toney,WR,3,False
2023,160,14,4,You gonna get Butkus'd,funblood,Elijah Mitchell,RB,2,False
2023,161,14,5,De'Von Corleone,BobbyeddyB,Nico Collins,WR,2,False
2023,162,14,6,3AM  No Limit,espn14211458,Dalton Schultz,TE,1,False
2023,163,14,7,De'Von Corleone,BobbyeddyB,Taysom Hill,TE,1,False
2023,164,14,8,Etienne all the Capicola,CBPainTrain,Allen Lazard,WR,2,False
2023,165,14,9,Ugh...Yeah...What...Football!,kdoggs80,K.J. Osborn,WR,1,False
2023,166,14,10,Nacua please!!,silverandblack.27,Odell Beckham Jr.,WR,3,False
2023,167,14,11,You gonna get Butkus'd,funblood,Brock Purdy,QB,4,False
2023,168,14,12,You gonna get Butkus'd,funblood,Sam LaPorta,TE,4,False
2023,169,15,1,Rollin' with Ma-homes,eyedocjj,Irv Smith Jr.,TE,1,False
2023,170,15,2,Etienne all the Capicola,CBPainTrain,Dawson Knox,TE,1,False
2023,171,15,3,Etienne all the Capicola,CBPainTrain,Jonathan Mingo,WR,2,False
2023,172,15,4,3AM  No Limit,espn14211458,Jets D/ST,DST,1,False
2023,173,15,5,De'Von Corleone,BobbyeddyB,Deon Jackson,RB,2,False
2023,174,15,6,Chasin' the Dream,RPT0777,Romeo Doubs,WR,2,False
2023,175,15,7,Ugh...Yeah...What...Football!,kdoggs80,Chigoziem Okonkwo,TE,1,False
2023,176,15,8,"Hahaha nice name, i got nothing",Rohabhabibo,Rondale Moore,WR,1,False
2023,177,15,9,ILM Matt Ulrich aka Chest,espn98580191,Ryan Tannehill,QB,1,False
2023,178,15,10,Rollin' with Ma-homes,eyedocjj,Marquez Valdes-Scantling,WR,1,False
2023,179,15,11,Etienne all the Capicola,CBPainTrain,Seahawks D/ST,DST,1,False
2023,180,15,12,Chasin' the Dream,RPT0777,Jameson Williams,WR,1,False
2023,181,16,1,3AM  No Limit,espn14211458,Younghoe Koo,K,1,False
2023,182,16,2,Nacua please!!,silverandblack.27,DJ Chark Jr.,WR,1,False
2023,183,16,3,Ugh...Yeah...What...Football!,kdoggs80,Adam Thielen,WR,1,False
2023,184,16,4,"Hahaha nice name, i got nothing",Rohabhabibo,Michael Gallup,WR,1,False
2023,185,16,5,Rollin' with Ma-homes,eyedocjj,Zay Jones,WR,1,False
2023,186,16,6,Chasin' the Dream,RPT0777,Jeff Wilson Jr.,RB,1,False
2023,187,16,7,Nacua please!!,silverandblack.27,Ezekiel Elliott,RB,1,False
2023,188,16,8,Ugh...Yeah...What...Football!,kdoggs80,Tyler Allgeier,RB,1,False
2023,189,16,9,"Hahaha nice name, i got nothing",Rohabhabibo,Devin Singletary,RB,1,False
2023,190,16,10,Chasin' the Dream,RPT0777,Tyler Boyd,WR,1,False
2023,191,16,11,Nacua please!!,silverandblack.27,Mack Hollins,WR,1,False
2023,192,16,12,Chasin' the Dream,RPT0777,Puka Nacua,WR,1,False
2024,1,1,1,Rolling with Younghoes,espn98580191,Trey McBride,TE,6,True
2024,2,1,2,Rolling with Younghoes,espn98580191,Raheem Mostert,RB,9,True
2024,3,1,3,Rolling with Younghoes,espn98580191,Evan Engram,TE,7,True
2024,4,1,4,To be A. Rich I need a Pacheco,eyedocjj,Brandon Aiyuk,WR,13,True
2024,5,1,5,To be A. Rich I need a Pacheco,eyedocjj,Isiah Pacheco,RB,12,True
2024,6,1,6,To be A. Rich I need a Pacheco,eyedocjj,Anthony Richardson,QB,5,True
2024,7,1,7,We call this the hail mary!,funblood,C.J. Stroud,QB,4,True
2024,8,1,8,We call this the hail mary!,funblood,Sam LaPorta,TE,7,True
2024,9,1,9,We call this the hail mary!,funblood,Tank Dell,WR,4,True
2024,10,1,10,3AM  No Limit,espn14211458,Jahmyr Gibbs,RB,35,True
2024,11,1,11,3AM  No Limit,espn14211458,Garrett Wilson,WR,45,True
2024,12,2,1,3AM  No Limit,espn14211458,Michael Pittman Jr.,WR,6,True
2024,13,2,2,Lucero's Bail Bonds,BobbyeddyB,Kyren Williams,RB,6,True
2024,14,2,3,Lucero's Bail Bonds,BobbyeddyB,De'Von Achane,RB,6,True
