season,overall_pick,round,round_pick,team,owner,player,pos,bid,keeper
2024,121,11,11,Lucero's Bail Bonds,BobbyeddyB,Jaleel McLaughlin,RB,1,False
2024,122,12,1,Rolling with Younghoes,espn98580191,Chase Brown,RB,3,False
2024,123,12,2,Etienne all the Capicola,CBPainTrain,Najee Harris,RB,4,False
2024,124,12,3,Da'Kine Bail Bonds,espn19238790,Isaiah Likely,TE,16,False
2024,125,12,4,"Hahaha nice name, i got nothing",Rohabhabibo,Tyler Lockett,WR,1,False
2024,126,12,5,Da'Kine Bail Bonds,espn19238790,Taysom Hill,TE,7,False
2024,127,12,6,Etienne all the Capicola,CBPainTrain,Tyjae Spears,RB,5,False
2024,128,12,7,Lambeau Calrissian,RPT0777,Pat Freiermuth,TE,2,False
2024,129,12,8,3AM  No Limit,espn14211458,Stefon Diggs,WR,27,False
2024,130,12,9,We call this the hail mary!,funblood,Cairo Santos,K,1,False
2024,131,12,10,Lambeau Calrissian,RPT0777,Colts D/ST,DST,1,False
2024,132,12,11,Etienne all the Capicola,CBPainTrain,George Pickens,WR,14,False
2024,133,13,1,The Replacements,silverandblack.27,Gus Edwards,RB,2,False
2024,134,13,2,Da'Kine Bail Bonds,espn19238790,Tua Tagovailoa,QB,3,False
2024,135,13,3,The Replacements,silverandblack.27,Demarcus Robinson,WR,3,False
2024,136,13,4,"Hahaha nice name, i got nothing",Rohabhabibo,Devin Singletary,RB,5,False
2024,137,13,5,Da'Kine Bail Bonds,espn19238790,Blake Corum,RB,9,False
2024,138,13,6,To be A. Rich I need a Pacheco,eyedocjj,Bengals D/ST,DST,1,False
2024,139,13,7,Lucero's Bail Bonds,BobbyeddyB,Justin Herbert,QB,2,False
2024,140,13,8,Da'Kine Bail Bonds,espn19238790,Javonte Williams,RB,4,False
2024,141,13,9,We call this the hail mary!,funblood,Christian Watson,WR,6,False
2024,142,13,10,"Hahaha nice name, i got nothing",Rohabhabibo,Ezekiel Elliott,RB,2,False
2024,143,13,11,To be A. Rich I need a Pacheco,eyedocjj,Mike Williams,WR,2,False
2024,144,14,1,The Replacements,silverandblack.27,Tyler Allgeier,RB,1,False
2024,145,14,2,Rolling with Younghoes,espn98580191,Kirk Cousins,QB,7,False
2024,146,14,3,Lambeau Calrissian,RPT0777,Jonathon Brooks,RB,13,False
2024,147,14,4,"Hahaha nice name, i got nothing",Rohabhabibo,Courtland Sutton,WR,2,False
2024,148,14,5,We call this the hail mary!,funblood,Khalil Shakir,WR,4,False
2024,149,14,6,Rolling with Younghoes,espn98580191,Joshua Palmer,WR,2,False
2024,150,14,7,Lucero's Bail Bonds,BobbyeddyB,Zack Moss,RB,2,False
2024,151,14,8,Rolling with Younghoes,espn98580191,Jakobi Meyers,WR,1,False
2024,152,14,9,Rolling with Younghoes,espn98580191,Deshaun Watson,QB,2,False
2024,153,14,10,To be A. Rich I need a Pacheco,eyedocjj,Trey Benson,RB,3,False
2024,154,14,11,Lambeau Calrissian,RPT0777,Jerome Ford,RB,9,False
2024,155,15,1,Lambeau Calrissian,RPT0777,Darnell Mooney,WR,1,False
2024,156,15,2,We call this the hail mary!,funblood,Ben Sinnott,TE,3,False
2024,157,15,3,We call this the hail mary!,funblood,Chuba Hubbard,RB,6,False
2024,158,15,4,Rolling with Younghoes,espn98580191,Nick Chubb,RB,1,False
2024,159,15,5,"Hahaha nice name, i got nothing",Rohabhabibo,DeAndre Hopkins,WR,1,False
2024,160,15,6,Lucero's Bail Bonds,BobbyeddyB,Dalton Schultz,TE,2,False
2024,161,15,7,We call this the hail mary!,funblood,Geno Smith,QB,1,False
2024,162,15,8,Lambeau Calrissian,RPT0777,Hollywood Brown,WR,1,False
2024,163,15,9,Lucero's Bail Bonds,BobbyeddyB,Malachi Corley,WR,1,False
2024,164,15,10,Ugh...Yeah...What...Football!,kdoggs80,Matthew Stafford,QB,1,False
2024,165,15,11,"Hahaha nice name, i got nothing",Rohabhabibo,Trevor Lawrence,QB,1,False
2024,166,16,1,To be A. Rich I need a Pacheco,eyedocjj,Juwan Johnson,TE,1,False
2024,167,16,2,We call this the hail mary!,funblood,Jaylen Wright,RB,1,False
2024,168,16,3,Lambeau Calrissian,RPT0777,Rico Dowdle,RB,1,False
2024,169,16,4,Lucero's Bail Bonds,BobbyeddyB,Tony Pollard,RB,1,False
2024,170,16,5,Ugh...Yeah...What...Football!,kdoggs80,Bucky Irving,RB,1,False
2024,171,16,6,We call this the hail mary!,funblood,Jordan Mason,RB,1,False
2024,172,16,7,Lambeau Calrissian,RPT0777,Adonai Mitchell,WR,1,False
2024,173,16,8,Lucero's Bail Bonds,BobbyeddyB,Rashod Bateman,WR,1,False
2024,174,16,9,Ugh...Yeah...What...Football!,kdoggs80,J.K. Dobbins,RB,1,False
2024,175,16,10,Lambeau Calrissian,RPT0777,Braelon Allen,RB,1,False
2024,176,16,11,Ugh...Yeah...What...Football!,kdoggs80,Curtis Samuel,WR,1,False
2025,1,1,1,A Useless Johnson,espn98580191,Drake London,WR,37,True
2025,2,1,2,A Useless Johnson,espn98580191,Jerry Jeudy,WR,0,True
2025,3,1,3,A Useless Johnson,espn98580191,Trey McBride,TE,6,True
2025,4,1,4,K-Pop and Lock,eyedocjj,Marvin Harrison Jr.,WR,42,True
2025,5,1,5,K-Pop and Lock,eyedocjj,Derrick Henry,RB,34,True
2025,6,1,6,K-Pop and Lock,eyedocjj,Ladd McConkey,WR,4,True
2025,7,1,7,Spitting away the chase,funblood,Ja'Marr Chase,WR,53,True
2025,8,1,8,Spitting away the chase,funblood,Chuba Hubbard,RB,6,True
2025,9,1,9,Spitting away the chase,funblood,Tucker Kraft,TE,0,True
2025,10,1,10,3AM  No Limit,espn14211458,Jahmyr Gibbs,RB,35,True
2025,11,1,11,3AM  No Limit,espn14211458,Tee Higgins,WR,12,True
2025,12,1,12,3AM  No Limit,espn14211458,Jayden Daniels,QB,5,True
2025,13,2,1,Saja Boys,BobbyeddyB,De'Von Achane,RB,6,True
2025,14,2,2,Saja Boys,BobbyeddyB,Chase Brown,RB,11,True
2025,15,2,3,Saja Boys,BobbyeddyB,Nico Collins,WR,28,True
2025,16,2,4,65 Dolla Make You Holla,silverandblack.27,Puka Nacua,WR,6,True
2025,17,2,5,65 Dolla Make You Holla,silverandblack.27,Jordan Love,QB,6,True
2025,18,2,6,65 Dolla Make You Holla,silverandblack.27,Brock Bowers,TE,9,True
2025,19,2,7,Rectify this,CBPainTrain,DJ Moore,WR,20,True
2025,20,2,8,Rectify this,CBPainTrain,Brian Thomas Jr.,WR,7,True
2025,21,2,9,Rectify this,CBPainTrain,Caleb Williams,QB,17,True
2025,22,2,10,State your name,espn19238790,Kyren Williams,RB,6,True
2025,23,2,11,State your name,espn19238790,Jameson Williams,WR,3,True
2025,24,2,12,Maple Maulers,Rohabhabibo,Malik Nabers,WR,28,True
2025,25,3,1,Micahroni and Cheese,RPT0777,Terry McLaurin,WR,10,True
2025,26,3,2,Micahroni and Cheese,RPT0777,Tyrone Tracy Jr.,RB,0,True
2025,27,3,3,Micahroni and Cheese,RPT0777,Jonathan Taylor,RB,26,True
2025,28,3,4,Ugh...Yeah...What...Football!,kdoggs80,Bucky Irving,RB,1,True
2025,29,3,5,Ugh...Yeah...What...Football!,kdoggs80,Justin Jefferson,WR,52,True
2025,30,3,6,Ugh...Yeah...What...Football!,kdoggs80,Jaxon Smith-Njigba,WR,8,True
2025,31,3,7,State your name,espn19238790,Bijan Robinson,RB,68,False
2025,32,3,8,K-Pop and Lock,eyedocjj,Darius Cooper,WR,9,False
2025,33,3,9,State your name,espn19238790,Chandler Brayboy,WR,6,False
2025,34,3,10,Ugh...Yeah...What...Football!,kdoggs80,Theo Wease Jr.,WR,15,False
2025,35,3,11,Spitting away the chase,funblood,Corey Kiner,RB,10,False
2025,36,3,12,65 Dolla Make You Holla,silverandblack.27,Donovan Edwards,RB,15,False
2025,37,4,1,Paul's Perfect Team,ESPNFAN25233150,Davante Adams,WR,31,False
2025,38,4,2,A Useless Johnson,espn98580191,Harrison Mevis,K,1,False
2025,39,4,3,Saja Boys,BobbyeddyB,Kyle McCord,QB,5,False
2025,40,4,4,Micahroni and Cheese,RPT0777,Kene Nwangwu,RB,16,False
2025,41,4,5,Rectify this,CBPainTrain,Nick Nash,WR,15,False
2025,42,4,6,3AM  No Limit,espn14211458,Caleb Lohner,TE,15,False
2025,43,4,7,Maple Maulers,Rohabhabibo,Xavier Restrepo,WR,3,False
2025,44,4,8,A Useless Johnson,espn98580191,James Conner,RB,15,False
2025,45,4,9,65 Dolla Make You Holla,silverandblack.27,CeeDee Lamb,WR,65,False
2025,46,4,10,Paul's Perfect Team,ESPNFAN25233150,Amon-Ra St. Brown,WR,48,False
2025,47,4,11,K-Pop and Lock,eyedocjj,Travis Kelce,TE,7,False
2025,48,4,12,65 Dolla Make You Holla,silverandblack.27,Chase McLaughlin,K,1,False
2025,49,5,1,K-Pop and Lock,eyedocjj,Saquon Barkley,RB,61,False
2025,50,5,2,Paul's Perfect Team,ESPNFAN25233150,James Cook III,RB,21,False
2025,51,5,3,65 Dolla Make You Holla,silverandblack.27,Broncos D/ST,DST,3,False
2025,52,5,4,Micahroni and Cheese,RPT0777,Texans D/ST,DST,1,False
2025,53,5,5,Saja Boys,BobbyeddyB,Josh Allen,QB,27,False
2025,54,5,6,Saja Boys,BobbyeddyB,Christian McCaffrey,RB,49,False
2025,55,5,7,Maple Maulers,Rohabhabibo,Lions D/ST,DST,1,False
2025,56,5,8,Maple Maulers,Rohabhabibo,Kyler Murray,QB,4,False
2025,57,5,9,State your name,espn19238790,A.J. Brown,WR,48,False
2025,58,5,10,Ugh...Yeah...What...Football!,kdoggs80,Vikings D/ST,DST,1,False
2025,59,5,11,Spitting away the chase,funblood,Josh Jacobs,RB,56,False
2025,60,5,12,State your name,espn19238790,George Kittle,TE,24,False
2025,61,6,1,Maple Maulers,Rohabhabibo,Colston Loveland,TE,10,False
2025,62,6,2,State your name,espn19238790,Eagles D/ST,DST,2,False
2025,63,6,3,A Useless Johnson,espn98580191,Jake Bates,K,2,False
2025,64,6,4,Maple Maulers,Rohabhabibo,Zay Flowers,WR,13,False
2025,65,6,5,A Useless Johnson,espn98580191,Ravens D/ST,DST,2,False
2025,66,6,6,A Useless Johnson,espn98580191,Jalen Hurts,QB,19,False
2025,67,6,7,Maple Maulers,Rohabhabibo,Brandon Aubrey,K,3,False
2025,68,6,8,K-Pop and Lock,eyedocjj,Cameron Dicker,K,1,False
2025,69,6,9,K-Pop and Lock,eyedocjj,Joe Burrow,QB,17,False
2025,70,6,10,65 Dolla Make You Holla,silverandblack.27,Ashton Jeanty,RB,66,False
2025,71,6,11,Saja Boys,BobbyeddyB,Chris Boswell,K,2,False
2025,72,6,12,Micahroni and Cheese,RPT0777,TreVeyon Henderson,RB,26,False
2025,73,7,1,Paul's Perfect Team,ESPNFAN25233150,David Montgomery,RB,10,False
2025,74,7,2,Saja Boys,BobbyeddyB,Tyreek Hill,WR,32,False
2025,75,7,3,Paul's Perfect Team,ESPNFAN25233150,David Njoku,TE,5,False
2025,76,7,4,Spitting away the chase,funblood,Rome Odunze,WR,13,False
2025,77,7,5,Rectify this,CBPainTrain,Steelers D/ST,DST,3,False
2025,78,7,6,Ugh...Yeah...What...Football!,kdoggs80,Lamar Jackson,QB,32,False
2025,79,7,7,Maple Maulers,Rohabhabibo,Breece Hall,RB,19,False
2025,80,7,8,3AM  No Limit,espn14211458,Garrett Wilson,WR,23,False
2025,81,7,9,Spitting away the chase,funblood,Baker Mayfield,QB,20,False
2025,82,7,10,Ugh...Yeah...What...Football!,kdoggs80,Tyler Bass,K,1,False
2025,83,7,11,Spitting away the chase,funblood,Jake Elliott,K,1,False
2025,84,7,12,3AM  No Limit,espn14211458,D'Andre Swift,RB,11,False
2025,85,8,1,Paul's Perfect Team,ESPNFAN25233150,Harrison Butker,K,1,False
2025,86,8,2,Rectify this,CBPainTrain,Omarion Hampton,RB,42,False
2025,87,8,3,Micahroni and Cheese,RPT0777,Emeka Egbuka,WR,22,False
2025,88,8,4,A Useless Johnson,espn98580191,Calvin Ridley,WR,12,False
2025,89,8,5,3AM  No Limit,espn14211458,Sam LaPorta,TE,16,False
2025,90,8,6,Paul's Perfect Team,ESPNFAN25233150,Patrick Mahomes,QB,18,False
2025,91,8,7,Maple Maulers,Rohabhabibo,Jakobi Meyers,WR,5,False
2025,92,8,8,Maple Maulers,Rohabhabibo,Austin Ekeler,RB,5,False
2025,93,8,9,A Useless Johnson,espn98580191,Tony Pollard,RB,15,False
2025,94,8,10,A Useless Johnson,espn98580191,Evan Engram,TE,8,False
2025,95,8,11,Spitting away the chase,funblood,Patriots D/ST,DST,1,False
2025,96,8,12,State your name,espn19238790,Xavier Worthy,WR,22,False
2025,97,9,1,Paul's Perfect Team,ESPNFAN25233150,Bills D/ST,DST,1,False
2025,98,9,2,A Useless Johnson,espn98580191,Mike Evans,WR,22,False
2025,99,9,3,Saja Boys,BobbyeddyB,Mark Andrews,TE,7,False
2025,100,9,4,3AM  No Limit,espn14211458,DK Metcalf,WR,26,False
2025,101,9,5,Rectify this,CBPainTrain,Matt Gay,K,1,False
2025,102,9,6,A Useless Johnson,espn98580191,Alvin Kamara,RB,24,False
2025,103,9,7,Maple Maulers,Rohabhabibo,Bo Nix,QB,9,False
2025,104,9,8,Maple Maulers,Rohabhabibo,Jaylen Warren,RB,5,False
2025,105,9,9,Ugh...Yeah...What...Football!,kdoggs80,Kenneth Walker III,RB,32,False
2025,106,9,10,Rectify this,CBPainTrain,Tyler Warren,TE,10,False
2025,107,9,11,Micahroni and Cheese,RPT0777,Tetairoa McMillan,WR,21,False
2025,108,9,12,Micahroni and Cheese,RPT0777,George Pickens,WR,9,False
2025,109,10,1,Paul's Perfect Team,ESPNFAN25233150,Nick Chubb,RB,3,False
2025,110,10,2,Rectify this,CBPainTrain,Courtland Sutton,WR,18,False
2025,111,10,3,Saja Boys,BobbyeddyB,49ers D/ST,DST,1,False
2025,112,10,4,Maple Maulers,Rohabhabibo,Aaron Jones Sr.,RB,17,False
2025,113,10,5,Spitting away the chase,funblood,Matthew Golden,WR,14,False
2025,114,10,6,Rectify this,CBPainTrain,Travis Hunter,WR,8,False
2025,115,10,7,Maple Maulers,Rohabhabibo,DeVonta Smith,WR,17,False
2025,116,10,8,K-Pop and Lock,eyedocjj,Browns D/ST,DST,1,False
2025,117,10,9,Rectify this,CBPainTrain,RJ Harvey,RB,31,False
2025,118,10,10,Spitting away the chase,funblood,Jacory Croskey-Merritt,RB,17,False
2025,119,10,11,Ugh...Yeah...What...Football!,kdoggs80,J.J. McCarthy,QB,2,False
2025,120,10,12,Ugh...Yeah...What...Football!,kdoggs80,Jaylen Waddle,WR,19,False
2025,121,11,1,K-Pop and Lock,eyedocjj,Chris Olave,WR,15,False
2025,122,11,2,Micahroni and Cheese,RPT0777,Isiah Pacheco,RB,27,False
2025,123,11,3,Saja Boys,BobbyeddyB,Isaac TeSlaa,WR,1,False
2025,124,11,4,Micahroni and Cheese,RPT0777,Brandon McManus,K,1,False
2025,125,11,5,Paul's Perfect Team,ESPNFAN25233150,Ricky Pearsall,WR,17,False
2025,126,11,6,3AM  No Limit,espn14211458,Cooper Kupp,WR,7,False
2025,127,11,7,Maple Maulers,Rohabhabibo,Michael Pittman Jr.,WR,1,False
2025,128,11,8,Micahroni and Cheese,RPT0777,Dak Prescott,QB,4,False
2025,129,11,9,State your name,espn19238790,Jared Goff,QB,3,False
2025,130,11,10,3AM  No Limit,espn14211458,Cam Skattebo,RB,3,False
2025,131,11,11,65 Dolla Make You Holla,silverandblack.27,Javonte Williams,RB,13,False
2025,132,11,12,65 Dolla Make You Holla,silverandblack.27,Jerome Ford,RB,1,False
2025,133,12,1,Paul's Perfect Team,ESPNFAN25233150,Deebo Samuel,WR,10,False
2025,134,12,2,A Useless Johnson,espn98580191,Justin Herbert,QB,5,False
2025,135,12,3,Saja Boys,BobbyeddyB,Joshua Palmer,WR,1,False
2025,136,12,4,Micahroni and Cheese,RPT0777,Trevor Lawrence,QB,1,False
2025,137,12,5,Ugh...Yeah...What...Football!,kdoggs80,T.J. Hockenson,TE,17,False
2025,138,12,6,3AM  No Limit,espn14211458,Drake Maye,QB,1,False
2025,139,12,7,Maple Maulers,Rohabhabibo,J.K. Dobbins,RB,18,False
2025,140,12,8,A Useless Johnson,espn98580191,Kaleb Johnson,RB,26,False
2025,141,12,9,Rectify this,CBPainTrain,Zach Charbonnet,RB,11,False
2025,142,12,10,3AM  No Limit,espn14211458,Stefon Diggs,WR,11,False
2025,143,12,11,Rectify this,CBPainTrain,Brock Purdy,QB,3,False
2025,144,12,12,3AM  No Limit,espn14211458,Rhamondre Stevenson,RB,15,False
2025,145,13,1,Paul's Perfect Team,ESPNFAN25233150,Travis Etienne Jr.,RB,3,False
2025,146,13,2,A Useless Johnson,espn98580191,Keenan Allen,WR,3,False
2025,147,13,3,Saja Boys,BobbyeddyB,Braelon Allen,RB,1,False
2025,148,13,4,Micahroni and Cheese,RPT0777,Dalton Kincaid,TE,7,False
2025,149,13,5,Micahroni and Cheese,RPT0777,Ollie Gordon II,RB,3,False
2025,150,13,6,3AM  No Limit,espn14211458,Jordan Mason,RB,17,False
2025,151,13,7,K-Pop and Lock,eyedocjj,Christian Kirk,WR,1,False
2025,152,13,8,State your name,espn19238790,Cam Ward,QB,1,False
2025,153,13,9,Paul's Perfect Team,ESPNFAN25233150,Khalil Shakir,WR,9,False
2025,154,13,10,65 Dolla Make You Holla,silverandblack.27,Jordan Addison,WR,2,False
2025,155,13,11,65 Dolla Make You Holla,silverandblack.27,Josh Downs,WR,1,False
2025,156,13,12,Paul's Perfect Team,ESPNFAN25233150,Trey Benson,RB,1,False
2025,157,14,1,Saja Boys,BobbyeddyB,Rashee Rice,WR,27,False
2025,158,14,2,Micahroni and Cheese,RPT0777,Packers D/ST,DST,1,False
2025,159,14,3,Ugh...Yeah...What...Football!,kdoggs80,Keon Coleman,WR,6,False
2025,160,14,4,3AM  No Limit,espn14211458,Seahawks D/ST,DST,1,False
2025,161,14,5,K-Pop and Lock,eyedocjj,Luther Burden III,WR,1,False
2025,162,14,6,65 Dolla Make You Holla,silverandblack.27,Jauan Jennings,WR,2,False
2025,163,14,7,Ugh...Yeah...What...Football!,kdoggs80,Darnell Mooney,WR,1,False
2025,164,14,8,65 Dolla Make You Holla,silverandblack.27,Jayden Higgins,WR,4,False
2025,165,14,9,Ugh...Yeah...What...Football!,kdoggs80,Rachaad White,RB,5,False
2025,166,14,10,Paul's Perfect Team,ESPNFAN25233150,Dallas Goedert,TE,1,False
2025,167,14,11,Saja Boys,BobbyeddyB,Marvin Mims Jr.,WR,1,False
2025,168,14,12,Rectify this,CBPainTrain,Brian Robinson Jr.,RB,1,False
2025,169,15,1,3AM  No Limit,espn14211458,Cairo Santos,K,1,False
2025,170,15,2,K-Pop and Lock,eyedocjj,Tank Bigsby,RB,1,False
2025,171,15,3,Ugh...Yeah...What...Football!,kdoggs80,Chris Godwin Jr.,WR,5,False
2025,172,15,4,Rectify this,CBPainTrain,Jaydon Blue,RB,2,False
2025,173,15,5,Spitting away the chase,funblood,Justin Fields,QB,5,False
2025,174,15,6,65 Dolla Make You Holla,silverandblack.27,Joe Mixon,RB,1,False
2025,175,15,7,Paul's Perfect Team,ESPNFAN25233150,C.J. Stroud,QB,1,False
2025,176,15,8,Saja Boys,BobbyeddyB,Brandon Aiyuk,WR,1,False
2025,177,15,9,Rectify this,CBPainTrain,Kyle Pitts Sr.,TE,1,False
2025,178,15,10,65 Dolla Make You Holla,silverandblack.27,Tua Tagovailoa,QB,2,False
2025,179,15,11,State your name,espn19238790,Jayden Reed,WR,1,False
2025,180,15,12,Ugh...Yeah...What...Football!,kdoggs80,Quinshon Judkins,RB,1,False
2025,181,16,1,Spitting away the chase,funblood,Bhayshul Tuten,RB,1,False
2025,182,16,2,K-Pop and Lock,eyedocjj,Michael Penix Jr.,QB,1,False
2025,183,16,3,State your name,espn19238790,Rashid Shaheed,WR,1,False
2025,184,16,4,Spitting away the chase,funblood,Jake Ferguson,TE,1,False
2025,185,16,5,K-Pop and Lock,eyedocjj,Kendre Miller,RB,1,False
2025,186,16,6,State your name,espn19238790,Xavier Legette,WR,1,False
2025,187,16,7,Spitting away the chase,funblood,Tre' Harris,WR,1,False
2025,188,16,8,K-Pop and Lock,eyedocjj,Darren Waller,TE,1,False
2025,189,16,9,State your name,espn19238790,Tyler Allgeier,RB,1,False
2025,190,16,10,Spitting away the chase,funblood,Cedric Tillman,WR,1,False
2025,191,16,11,State your name,espn19238790,Najee Harris,RB,1,False
2025,192,16,12,State your name,espn19238790,Tyler Loop,K,1,False
